Movie Name,Review,Rating
Inside out 2,"Inside Out 2 talks about ""growing up"" in an emotional way and depicts how growing up is challenging inside our thoughts. The film introduces the emotions we had from the previous movie: Joy, Anger, Sadness, Fear and Disgust. We are also introduced to new emotions: embarrassment, Ennui (boredom), Envy and Anxiety.Riley is about to go to high school but the story focuses on her preparation to officially join the FogHorn Hockey team. As the story progresses, Riley finds herself challenged with her hopes to join the team. Her friendship was wounded, her emotions went all over the place and the pressure got into her head. But eventually, everything goes into their proper places.This sequel film may be animated and made for kids but as an adult, it just hits differently. I can say that this film was partially made for adults and for anyone who is in a bad mental situation. It reminds its viewers how growing older can be tough, how overthinking affects everything else, how decisions that are made today may affect what's next. But it is also a strong reminder that problems, fear, worries and anxieties will come. They are all inevitable but everything will pass. Take a deep breath, stay calm and do not overstress everything. Having a calm mind also affects the way we think. We may feel pressure at any given time but we have to sit back and relax.Do not overstress things at the present. Live at the moment. The future is there but we live at the present, right here, right now. Enjoy life. Remember that you are not alone on whatever you are facing. Keep your friends and family close. And finally, God is always with us.Inside Out 2 is a great film. Every audience will have a different way of enjoying this but just remember, you are who you are. Embrace yourself.",9.00
Inside out 2,"I can't believe I'm saying this, but this is one of the best Pixar movies to date. I did not expect to like this movie very much. Disney and Pixar have been vastly disappointing and even controversial recently, but Inside Out 2 rivals Pixar's best movies like Up, Monsters inc., Ratatouille, The Incredibles and Toy Story in quality.

I found the story very moving. The best animated movies ever made appeal not just to children, but resonate with the more mature audience as well. And that's what this movie does.

The theme was very poignant. I loved the introduction of the new characters and especially how they incorporated anxiety into the transformation of puberty. Anxiety is not fun, but many people struggle with it.

The ending was great too. I love that they didn't wrap it up in a cliche way.",9.00
Inside out 2,"Inside Out 2 (2024) is a powerful sequel to the acclaimed Pixar film, delving deeper into the emotional tragedies and joys of adolescence. This new chapter follows Riley Andersen (voiced by Kensington Tallman) as she transitions from middle school to high school, encountering the turbulence of puberty and stumbling through new social situations.

Riley, fresh from middle school graduation, is invited to join a summer hockey trial by her local coach who she is completely in adoration of and amazed that her and her friends got invited. She faces anxiety about high school separation from her close friends, who will be attending different schools. Her sense of self is just staring to solidify despite the bad news about her besties. She really hopes they can stay connected through their shared passion for hockey.

As Riley confronts these changes, new emotions like Anxiety, Envy, and Embarrassment emerge. These emotions create a challenging internal dynamic, especially when Riley meets Valentina ""Val"" Ortiz, the admired captain of the high school hockey team. Anxiety begins to dominate, banishing all older emotions we got to know in the first Inside Out out from the headquarters and literally into the Vault where recessed memories are kept. This causes Riley to lose confidence and strain her friendships as she attempts to fit in with her new high school peers.

Joy, Sadness, Anger, Fear, and Disgust go on a mission to help Riley retain her sense of self. In addition, the visual elements were all quite amazing. It's like a mental model of what the brain actually looks like. With all the storage units, and the workers trying to put things in the right place, and then the deep-sated secret memories were inside the vault. All of these aspects made the movie seem even more realistic, and made it feel like I actually have that inside my own brain. Through their journey, they realize that every emotion, including the new ones, plays a crucial role in shaping Riley's identity and helping her navigate adolescence's complexities. The film emphasizes the importance of embracing all emotions to truly understand oneself.

Watching Inside Out 2 was an emotional rollercoaster for me. The film masterfully conveyed the emotions of growing up, making me feel sadness, fear, and excitement along with Riley. There were moments where I was on the edge of my seat, anxious about Riley's choices and hoping she would find her true self again. By the end of the movie, Riley gains more than just her original self; she understands what it truly means to be herself, embracing all parts of her emotional spectrum.

Inside Out 2 beautifully captures the essence of growing up, making us laugh, cry, and reflect on the importance of understanding and accepting all parts of ourselves.",9.00
Inside out 2,"It is ABSOLUTELY FANTASTIC and INSTANT CLASSIC Pixar masterpiece ever. A triumphant full circle moment for Pixar. An emotional rollercoaster from beginning til the end. Animation is pure perfection. Pacing is brilliant. Musical score is magnificent. Visuals are stunning & dazzling. Story was very beautifully heartfelt. The voice cast performance was incredibly stellar with old and new familiar faces especially Maya Hawke as Anxiety and Ayo Edebiri as Envy being massive standouts. You'll laugh, cry, and fall in love with this movie. It will blow your mind. Really like it's one of the BEST Pixar sequels in ages since Toy Story 3. A special, once in a lifetime cinematic experience full of heart. A MUST-WATCH for everyone!

This will be a massive box office juggernaut & deservedly so.

Totally the best animated movie of the year you'll ever see. Period.

Kudos to Kelsey Mann & the cast & crew of Inside Out 2!",10.00
Inside out 2,"A sequel with beautiful execution and sufficient maturity to make this film a sequel that is no less than the first film. Even though the conflict shown is not as complex as the first film, but it still made my tears almost slide through my eyes. Such as the scene of Bing Bong saying the dialogue ""Take her to the moon for me"" in the first film, I did not find any emotions that were successfully expressed by the dialogue or scenes. But okay, that's okay, I still like it. The point is that you will find a feeling of nostalgia, a strong emotional feeling (although not too much), this film will be liked by every millennial child and children who want to go back to watch the second film to reminisce, I mean children who have grown up. The overall rating for this film is 8/10, it is definitely worth watching.",8.00
Inside out 2,"I didn't think that the first Inside Out was this massive return to form that many other people thought, but it was fine.

The sequel however is one of the worst movies this year. It's worse than Kung Fu Panda 4. The biggest issue with the movie is that it's pointless. It's got the EXACT SAME message as the first movie. If you have seen the first movie you have seen this one.

The new emotions make no sense and this causes so many plot holes. Their emotions are literally the exact same or at least fit into the original characters.

The fact that this movie deals with puberty and they do almost nothing with it is just a testament to how far Pixar has fell off. The first movie alluded at Riley getting into her first relationship, but that isn't even mentioned in this movie.

Pixar used to be masterful storytellers, with mature stories where you couldn't predict the ending. This is just cookie-cutter predictable trash.",2.00
Inside out 2,"I consider the prequel as a real masterpiece. It is so creative, so funny, emotionally touching and entertaining. Best Pixar movie since ages.

So, I must say I had a certain level of expectation when going with my family who see the second part. And don't get me wrong, it is no bad movie at all, it is fast, has some really well done scenes and we felt entertained after all. BUT, and this is a huge BUT, i feel disappointed since Pixar took the easy route. What do I mean: In fact they fully rely on the outstanding scenery and ideas of the prequel and slightly developed it further in a really foreseeable way. Actually everyone of us could have written this story. All other characters next to Riley do not play any relevant role and have no depth (OK, you could interpret that as a major characteristic of puberty) but even Riley's journey of starting into chaos of feelings could have elaborated more creative and beyond of what you could expect from the movie: more and complex emotions, re-build of the control stations, bla bla). And what I criticize the most: 60% of the story has just been copied from the previous film: Riley's emotion mates are puzzling through the labyrinth of her brain to head back to the control tower... As said, the movie is worth watching it, has its moments and is entertaining , but Pixar: you could have done more than the obvious! Compared to the original movie it is a bit of a disappointment respectively the film makers decided to not walk the extra mile to create something magical again.",4.00
Inside out 2,"Comments like ""this may be good for you if you are a teenager"" are exactly what should be feared by the studios, with this movie you are narrowing the audience which was perfect in the first delivery, the over-explanation of character's actions and jokes denote a very poor dialog writing, there are no more memorable quotes, the characters have zero creative development, turning into more of the same in a bad way.

I know almost nothing about writing credits but it makes obvious the change with the first movie, if this is the result of the absence of Pete Docter, believe me, it is remarkable.

There are antagonists like in the first movie but now their development turns out to be far too obvious for example the false enemy which turns to be neccesary, the silly-but-required old memories and the caged-but-misunderstood villians, I mean, this is not a spoiler because is a copy-paste from the first delivery, the inclusion, which is now mandatory, sums nothing to the narrative.

The pace is slow and predictive so I almost fell asleep, my wife almost fell asleep, my two friends almost fell asleep, and at least in the case of my local screenplay I felt constantly the sense of ""why are people laughing at that joke?""

Silly with no sense, only backed by the beautiful artwork, this movie will get forgotten in a couple of weeks, it is nothing compared with its predecessor.

Took the time to write this because I am 100% sure that I wont see it again and maybe could save you some money, wait for the streaming.",4.00
Inside out 2,"Just a confused mess, no real understanding of the world-building that made the first one so good. No character development from the first, either, the plot is basically the same lessons being learned that inside and outside characters learned in the first. And taking the focus away from family, toward a simple, trivial hockey camp? Talk about lowering the stakes.

Basically boring, pointless, and much less fun. The changes in voice actors were jarring, and the additions were messy and for the most part useless. Anxiety could have just been a new manifestation of fear. Embarrassment could have just been a part of disgust. And Ennui? That's not really even an emotion. How about, I don't know, love?

I felt like there was no direction at all. I cared much less about Riley after the end than I did beforehand.

Pixar is officially dead, I think.",4.00
Inside out 2,"The new film is as brilliant and wonderful as the old film was, using a very entertaining and imaginative way to represent emotions and their impact on people, more specifically, a young girl. The metaphors brought to life (e.g., stream of consciousness is stream, train of consciousness is a choo choo) and representations are very creative and very funny. The film gets a 10 for the wonderful images, sounds, and ideas. But it gets a 0 for accuracy. People's behavior is not controlled by emotions - emotions are only one factor that the person deals with. In addition, there is reality, internal processes, and social pressures. Each action takes place in the context of these competing forces. The true ""control panel"" is not in a room with the emotions, but rather the emotions show up on a panel in a different, higher level panel, where all these other impulses and perceptions compete for action that will reward the person and further their goals.",3.00
The Boys ,"I've had big expectations about this show, because I thought that is going to be exactly that kind of show, in which the good guys (the superheroes) fight the bad guys (the villains) and of course, they win. I couldn't have been more wrong, especially because ""The Boys"" it's not about a desperate attempt of superheroes to save the world from evil, instead this show takes a much more realistic approach, about what is going to happen if superheroes had really existed.

I'm saying that I had big expectations in the beginning, because I thought that it would be the same usual show with superheroes and villain, that is most likely to find everywhere. In the first couple of episodes I've been a little bit disappointed, or rather shocked, because like I've already said, ""The Boys"" describes what the MCU never did. Of course, the movies and shows from Marvel are destined to other public's category, but this show is tough. It has all you could not expect from a TV series with superheroes. It has violence, gore, nudity, astonishing CGI effects and a very unpredictable and solid storyline. In the end it seems that this one delivered what I didn't expect it to and I am pleased with that. The show is definitely worth watching.",9.00
The Boys ,"Excellent dystopian reimagining for Superhero nerds. Surprising, violent, always twisting. Binge-watched in 2 days! So glad for a second season, though will be so impatient! Thumbs up.",
The Boys ,"First it's just a very interesting take on the whole superhero genre. But there's also a lot more. Great actors, great storyline and very nice picture. I guess for me it's the best superhero series yet, followed by Titans and Umbrella Academy.",9.00
The Boys ,"There's nothing more that I can really say about The Boys that hasn't already been said. It's just a flat out awesome show! It's easily become one of my favorite new shows in years! I binged the entire first two seasons in just a few days when they first came out and rewatched them again for the second time before Season 3 came out. I was expecting a little bit of a drop off for Season 3 because Season 1 and 2 were so great, and there is a little drop in quality but it's still a very good show! It takes everything you loved about Season 1 and 2 (the violence, humor, heart, craziness, character development, etc.) and takes it all to a whole new level! This show has such an original take on the Superhero genre that is both exciting and hilarious! I can not recommend this show enough! Just a warning though...once you start watching it it's hard to stop. Give yourself enough time because you'll want to binge it as quickly as possible!",8.00
